name,group,vote,Groupe,Parti,Genre,Âge,Région,District,Fonction,affairVoteId
Mathieu CLERC,Les Verts,Oui/Ja,Les Verts,Les Verts,H,29.03.1989,Valais romand,Conthey,Député-e,20191213155830
Sébastien CLERC,PDCB,Oui/Ja,PDCB,PDC,H,26.04.1969,Valais romand,Monthey,Député-e suppléant-e,20191213155830
Bruno CLIVAZ,PDCC,Oui/Ja,PDCC,PDC,H,10.03.1955,Valais romand,Sion,Député-e,20191213155830
David CRETTENAND,PLR,Oui/Ja,PLR,PLR,H,30.04.1976,Valais romand,Martigny,Député-e,20191213155830
Nathalie CRETTON,Les Verts,Oui/Ja,Les Verts,Les Verts,F,07.05.1968,Valais romand,Monthey,Député-e,20191213155830
Grégory D'ANDRÈS,PLR,Oui/Ja,PLR,PLR,H,05.10.1983,Valais romand,Sierre,Député-e,20191213155830
Sylvain DÉFAGO,PDCB,Oui/Ja,PDCB,PDC,H,29.03.1982,Valais romand,Monthey,Député-e,20191213155830
Mathias DELALOYE,UDC,Oui/Ja,UDC,UDC,H,03.12.1991,Valais romand,Conthey,Député-e,20191213155830
Julien DÉLÈZE,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,10.12.1986,Valais romand,Conthey,Député-e,20191213155830
Alexandre DUBUIS,Les Verts,Oui/Ja,Les Verts,Les Verts,H,24.06.1985,Valais romand,Sion,Député-e,20191213155830
Gaëtan DUBUIS,PLR,Oui/Ja,PLR,PLR,H,07.11.1985,Valais romand,Martigny,Député-e suppléant-e,20191213155830
Julien DUBUIS,PLR,Oui/Ja,PLR,PLR,H,09.03.1970,Valais romand,Sion,Député-e,20191213155830
Margaux DUBUIS,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,01.09.1994,Valais romand,Sion,Député-e,20191213155830
Dominic EGGEL,CVPO,Oui/Ja,CVPO,PDC,H,04.11.1969,Haut-Valais,Brig,Député-e,20191213155830
Patrick EVÉQUOZ,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,18.01.1989,Valais romand,Conthey,Député-e suppléant-e,20191213155830
Muriel FAVRE-TORELLOZ,PDCB,Oui/Ja,PDCB,PDC,F,30.04.1963,Valais romand,St-Maurice,Député-e,20191213155830
Lysiane FELLAY,PLR,Oui/Ja,PLR,PLR,F,13.09.1974,Valais romand,Entremont,Député-e suppléant-e,20191213155830
Serge FELLAY,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,26.10.1960,Valais romand,Martigny,Député-e,20191213155830
Jérôme FOURNIER,Les Verts,Oui/Ja,Les Verts,Les Verts,H,11.06.1984,Valais romand,St-Maurice,Député-e suppléant-e,20191213155830
Raphaël FOURNIER,PDCC,Oui/Ja,PDCC,PDC,H,21.08.1966,Valais romand,Conthey,Député-e suppléant-e,20191213155830
Niklaus FURGER,CVPO,Oui/Ja,CVPO,PDC,H,06.04.1953,Haut-Valais,Visp,Député-e,20191213155830
Urban FURRER,CSPO,Oui/Ja,CSPO,PDC,H,27.04.1957,Haut-Valais,Visp,Député-e,20191213155830
Gaby FUX-BRANTSCHEN,CVPO,Oui/Ja,CVPO,PDC,F,07.04.1964,Haut-Valais,Visp,Député-e,20191213155830
Mathieu GACHNANG,PDCC,Oui/Ja,PDCC,PDC,H,25.09.1983,Valais romand,Sion,Député-e suppléant-e,20191213155830
Ilan GARCIA,UDC,Oui/Ja,UDC,UDC,H,18.02.1990,Valais romand,Conthey,Député-e suppléant-e,20191213155830
Marcel GASPOZ,PDCC,Oui/Ja,PDCC,PDC,H,05.03.1952,Valais romand,Hérens,Député-e,20191213155830
Méryl GENOUD,PLR,Oui/Ja,PLR,PLR,H,08.04.1988,Valais romand,Sierre,Député-e,20191213155830
Vinciane GLASSEY,PDCC,Oui/Ja,PDCC,PDC,F,01.01.1974,Valais romand,Conthey,Député-e suppléant-e,20191213155830
Rolet GRUBER,CSPO,Oui/Ja,CSPO,PDC,H,23.06.1954,Haut-Valais,Visp,Député-e,20191213155830
Pierre GUALINO,PDCB,Oui/Ja,PDCB,PDC,H,16.12.1962,Valais romand,Martigny,Député-e,20191213155830
Jean-Pierre GUEX,PDCB,Oui/Ja,PDCB,PDC,H,04.11.1957,Valais romand,Entremont,Député-e,20191213155830
Laetitia HEINZMANN BELLWALD,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,18.03.1964,Haut-Valais,Visp,Député-e suppléant-e,20191213155830
Alexia HÉRITIER,PDCC,Oui/Ja,PDCC,PDC,F,14.04.1971,Valais romand,Sion,Député-e suppléant-e,20191213155830
Mischa IMBODEN,CVPO,Oui/Ja,CVPO,PDC,H,11.10.1972,Haut-Valais,Brig,Député-e suppléant-e,20191213155830
Daniela IMHOF-JENELTEN,CVPO,Oui/Ja,CVPO,PDC,F,13.01.1972,Haut-Valais,Östlich Raron,Député-e suppléant-e,20191213155830
André IMSTEPF,SVPO,Oui/Ja,SVPO,UDC,H,13.07.1969,Haut-Valais,Brig,Député-e suppléant-e,20191213155830
Lukas JÄGER,SVPO,Oui/Ja,SVPO,UDC,H,15.01.1955,Haut-Valais,Leuk,Député-e,20191213155830
Urs JUON,CVPO,Oui/Ja,CVPO,PDC,H,03.06.1972,Haut-Valais,Visp,Député-e,20191213155830
Martin KALBERMATTER,CSPO,Oui/Ja,CSPO,PDC,H,23.02.1962,Haut-Valais,Westlich Raron,Député-e,20191213155830
Maude KESSI PRAZ,Les Verts,Oui/Ja,Les Verts,Les Verts,F,28.04.1971,Valais romand,Sion,Député-e suppléant-e,20191213155830
Manfred KUONEN,CSPO,Oui/Ja,CSPO,PDC,H,28.07.1967,Haut-Valais,Leuk,Député-e suppléant-e,20191213155830
Anthony LAMON,PDCC,Oui/Ja,PDCC,PDC,H,29.03.1984,Valais romand,Sierre,Député-e suppléant-e,20191213155830
Barbara LANTHEMANN,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,29.05.1965,Valais romand,Martigny,Député-e,20191213155830
Anton LAUBER,CSPO,Oui/Ja,CSPO,PDC,H,24.09.1959,Haut-Valais,Visp,Député-e,20191213155830
Aïda LIPS,UDC,Oui/Ja,UDC,UDC,F,08.10.1987,Valais romand,Martigny,Député-e suppléant-e,20191213155830
Grégory LOGEAN,UDC,Oui/Ja,UDC,UDC,H,13.11.1986,Valais romand,Hérens,Député-e,20191213155830
Sarah LUYET,UDC,Oui/Ja,UDC,UDC,F,19.06.1971,Valais romand,Sion,Député-e suppléant-e,20191213155830
André-Marcel MALBOIS,UDC,Oui/Ja,UDC,UDC,H,31.01.1948,Valais romand,Martigny,Député-e suppléant-e,20191213155830
David MARQUIS,PDCB,Oui/Ja,PDCB,PDC,H,16.05.1988,Valais romand,Entremont,Député-e suppléant-e,20191213155830
Gervaise MARQUIS,PLR,Oui/Ja,PLR,PLR,F,15.12.1965,Valais romand,Entremont,Député-e,20191213155830
Sylvie MASSEREY ANSELIN,PLR,Oui/Ja,PLR,PLR,F,05.09.1976,Valais romand,Sierre,Député-e,20191213155830
Benno MEICHTRY,CVPO,Oui/Ja,CVPO,PDC,H,12.01.1963,Haut-Valais,Leuk,Député-e,20191213155830
Robert MÉTRAILLER,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,31.05.1960,Valais romand,Sierre,Député-e,20191213155830
Delphine MICHAUD,PDCB,Oui/Ja,PDCB,PDC,F,26.05.1980,Valais romand,Monthey,Député-e suppléant-e,20191213155830
Audrey MICHELET,PDCC,Oui/Ja,PDCC,PDC,F,07.04.1993,Valais romand,Conthey,Député-e suppléant-e,20191213155830
Maxime MOIX,PDCC,Oui/Ja,PDCC,PDC,H,14.04.1996,Valais romand,Conthey,Député-e suppléant-e,20191213155830
Marie-Angèle MOOS,Les Verts,Oui/Ja,Les Verts,Les Verts,F,28.07.1960,Valais romand,Sierre,Député-e suppléant-e,20191213155830
Marylène MOOS,UDC,Oui/Ja,UDC,UDC,F,03.09.1957,Valais romand,Hérens,Député-e suppléant-e,20191213155830
Didier MORARD,PLR,Oui/Ja,PLR,PLR,H,26.11.1978,Valais romand,Hérens,Député-e,20191213155830
Fabienne MORET-ROTH,PDCB,Oui/Ja,PDCB,PDC,F,09.06.1969,Valais romand,Martigny,Député-e suppléant-e,20191213155830
Xavier MOTTET,PLR,Oui/Ja,PLR,PLR,H,02.11.1983,Valais romand,Monthey,Député-e,20191213155830
Richard NANCHEN,PLR,Oui/Ja,PLR,PLR,H,13.05.1963,Valais romand,Sierre,Député-e suppléant-e,20191213155830
Sébastien NENDAZ,AdG/LA,Oui/Ja,AdG/LA ,AdG/LA,H,28.08.1981,Valais romand,Hérens,Député-e suppléant-e,20191213155830
Marie-Claude NOTH-ECOEUR,PLR,Oui/Ja,PLR,PLR,F,25.09.1965,Valais romand,Monthey,Député-e,20191213155830
Christophe PANNATIER,PDCC,Oui/Ja,PDCC,PDC,H,21.12.1981,Valais romand,Sion,Député-e,20191213155830
Bruno PERROUD,UDC,Oui/Ja,UDC,UDC,H,12.12.1967,Valais romand,Sion,Député-e,20191213155830
Sandrine PERRUCHOUD,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,04.03.1969,Valais romand,Martigny,Député-e,20191213155830
Aron PFAMMATTER,CVPO,Oui/Ja,CVPO,PDC,H,15.04.1982,Haut-Valais,Brig,Député-e,20191213155830
Albert PITTELOUD,UDC,Oui/Ja,UDC,UDC,H,25.12.1950,Valais romand,Sierre,Député-e,20191213155830
Stéphane PONT,PDCC,Oui/Ja,PDCC,PDC,H,05.02.1966,Valais romand,Sierre,Député-e,20191213155830
Joachim RAUSIS,PDCB,Oui/Ja,PDCB,PDC,H,22.03.1979,Valais romand,Entremont,Député-e,20191213155830
Laurent REY,PDCB,Oui/Ja,PDCB,PDC,H,05.04.1969,Valais romand,St-Maurice,Député-e,20191213155830
Serge REY,UDC,Oui/Ja,UDC,UDC,H,18.07.1991,Valais romand,Sierre,Député-e suppléant-e,20191213155830
Yvan RION,UDC,Oui/Ja,UDC,UDC,H,06.02.1954,Valais romand,Sierre,Député-e,20191213155830
André RODUIT,PDCB,Oui/Ja,PDCB,PDC,H,12.07.1963,Valais romand,Martigny,Député-e,20191213155830
Flavien SAUTHIER,UDC,Oui/Ja,UDC,UDC,H,08.08.1972,Valais romand,Conthey,Député-e,20191213155830
Anne-Marie SAUTHIER-LUYET,PLR,Oui/Ja,PLR,PLR,F,27.04.1954,Valais romand,Sion,Député-e,20191213155830
Jérémy SAVIOZ,Les Verts,Oui/Ja,Les Verts,Les Verts,H,24.08.1970,Valais romand,Sierre,Député-e,20191213155830
Fabien SCHAFEITEL,PDCC,Oui/Ja,PDCC,PDC,H,16.06.1986,Valais romand,Hérens,Député-e,20191213155830
Flavien SCHALLER,PDCB,Oui/Ja,PDCB,PDC,H,12.09.1973,Valais romand,Monthey,Député-e,20191213155830
Manfred SCHMID,CVPO,Oui/Ja,CVPO,PDC,H,16.02.1968,Haut-Valais,Westlich Raron,Député-e,20191213155830
Doris SCHMIDHALTER-NÄFEN,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,F,01.12.1958,Haut-Valais,Brig,Député-e,20191213155830
Michel SFORZA,UDC,Oui/Ja,UDC,UDC,H,13.12.1980,Valais romand,Monthey,Député-e suppléant-e,20191213155830
Sandro STEINER,CVPO,Oui/Ja,CVPO,PDC,H,17.09.1990,Haut-Valais,Leuk,Député-e suppléant-e,20191213155830
Rainer STUDER,CVPO,Oui/Ja,CVPO,PDC,H,25.06.1979,Haut-Valais,Visp,Député-e,20191213155830
Sonia TAUSS-CORNUT,PLR,Oui/Ja,PLR,PLR,F,24.10.1975,Valais romand,Monthey,Député-e,20191213155830
Jean-Pierre TERRETTAZ,PLR,Oui/Ja,PLR,PLR,H,29.06.1953,Valais romand,Martigny,Député-e,20191213155830
Olivier TURIN,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,27.01.1973,Valais romand,Monthey,Député-e,20191213155830
Jean-Daniel VERGÈRES,PLR,Oui/Ja,PLR,PLR,H,27.09.1958,Valais romand,Conthey,Député-e suppléant-e,20191213155830
Edgar VIEUX,UDC,Oui/Ja,UDC,UDC,H,13.04.1959,Valais romand,Monthey,Député-e suppléant-e,20191213155830
Francesco WALTER,CVPO,Oui/Ja,CVPO,PDC,H,04.12.1960,Haut-Valais,Goms,Député-e,20191213155830
Frank WENGER,CSPO,Oui/Ja,CSPO,PDC,H,21.06.1972,Haut-Valais,Goms,Député-e,20191213155830
Egon WERLEN,CSPO,Oui/Ja,CSPO,PDC,H,05.05.1969,Haut-Valais,Westlich Raron,Député-e suppléant-e,20191213155830
Johann WOEFFRAY,PDCB,Oui/Ja,PDCB,PDC,H,02.02.1983,Valais romand,Monthey,Député-e suppléant-e,20191213155830
Fabian ZURBRIGGEN,SVPO,Oui/Ja,SVPO,UDC,H,06.11.1973,Haut-Valais,Visp,Député-e,20191213155830
